WARD NO,AGE,GENDER,MONTHLY INCOME,VEHICLE OWNERSHIP,"IF HAVE, VEHICLE TYPE",NEAREST STOP DISTANCE (m),REGUALR TRAVEL DISTANCE (km),TRAVEL MODE FOR LESS THAN 5KM,REGULAR TRAVEL MODE,WORK,SHOPPING,SOCIAL LIFE
3,21,Male,10000,No,,300,1.7,Walking,Bus,Bus,Rickshaw,Bus
3,19,Male,0,No,,100,1.2,Walking,Bus,Bus,Rickshaw,Bus
3,20,Female,5000,No,,150,3,Rickshaw,Laguna,Laguna,Rickshaw,Rickshaw
3,30,Male,20000,Yes,Motorcycle,800,3.5,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
3,46,Male,35000,Yes,Motorcycle,300,5,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
3,34,Male,26000,No,,600,3,Mahindra,Bus,Bus,Rickshaw,CNG
3,25,Male,14000,No,,500,3.8,Walking,Bus,Bus,CNG,CNG
3,30,Male,22000,No,,800,4.8,Walking,Mahindra,Mahindra,Bus,CNG
3,22,Male,0,No,,300,3.7,Walking,Bus,Laguna,Laguna,Rickshaw
3,21,Male,0,No,,400,3.8,Laguna,Bus,Bus,Rickshaw,Motorcycle
3,27,Male,15000,No,,350,2.5,Bus,Bus,Bus,Rickshaw,Bus
3,28,Male,18000,No,,600,3,Walking,Mahindra,Mahindra,Bus,Bus
3,32,Male,20000,Yes,Motorcycle,500,4.8,Laguna,Bus,Bus,Bus,Bus
3,26,Female,10000,No,,250,3.7,Bus,Bus,Bus,Rickshaw,CNG
3,42,Male,30000,No,,450,3,Bus,Bus,Bus,Laguna,Rickshaw
3,36,Male,22000,No,,450,4.8,Walking,Mahindra,Mahindra,Bus,Bus
3,24,Male,12000,No,,400,3,Walking,Bus,Bus,Laguna,Motorcycle
3,35,Male,25000,Yes,Motorcycle,350,4,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
3,29,Female,20000,No,,250,3,Laguna,Bus,Bus,Rickshaw,Rickshaw
3,45,Male,25000,No,,350,6,Walking,Bus,Bus,Rickshaw,CNG
3,24,Male,14000,No,,450,3.7,Walking,Laguna,Laguna,Rickshaw,Bus
3,34,Male,28000,Yes,Motorcycle,500,4,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
3,22,Female,0,No,,200,1.8,Walking,Rickshaw,Rickshaw,Rickshaw,CNG
3,56,Male,35000,Yes,CNG,300,5.7,CNG,CNG,CNG,CNG,CNG
3,34,Female,25000,No,,400,3.6,Rickshaw,Bus,Bus,Rickshaw,CNG
3,28,Male,20000,No,,800,4.6,Rickshaw,Bus,Bus,Bus,CNG
3,42,Male,28000,No,,350,7,Rickshaw,Bus,Bus,Rickshaw,CNG
3,22,Male,10000,No,,250,3.6,Walking,Laguna,Laguna,Rickshaw,Bus
3,42,Female,20000,No,,450,2.5,Rickshaw,Bus,Bus,Rickshaw,CNG
8,24,Male,15000,No,,250,3.5,Walking,Bus,Bus,Bus,Bus
8,46,Male,30000,Yes,Motorcycle,300,2.5,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
8,32,Male,22000,No,,450,4,Walking,Bus,Bus,Laguna,CNG
8,52,Male,40000,Yes,CNG,600,5,CNG,CNG,CNG,CNG,CNG
8,32,Male,24000,No,,700,3.8,Laguna,Bus,Bus,Rickshaw,CNG
8,36,Female,28000,Yes,CNG,900,3.2,CNG,CNG,CNG,CNG,CNG
8,25,Male,14000,No,,500,2.5,Walking,Laguna,Laguna,Bus,Bus
8,26,Male,12000,No,,550,1.2,Walking,Laguna,Laguna,Bus,Bus
8,27,Male,13500,No,,350,3.5,Walking,Bus,Bus,Bus,Bus
8,36,Male,28000,Yes,Motorcycle,450,3.8,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
8,34,Male,20000,No,,800,3.5,Laguna,Bus,Bus,Rickshaw,Bus
8,52,Male,25000,No,,200,2.5,Walking,Laguna,Laguna,Rickshaw,CNG
8,19,Male,0,No,,350,1.8,Walking,Bus,Bus,Bus,Bus
8,22,Male,10000,No,,600,5.5,Walking,Bus,Bus,Bus,Bus
8,27,Male,15000,No,,200,5,Walking,Bus,Bus,Laguna,Bus
8,30,Male,18000,No,,700,3.6,Walking,Bus,Bus,Bus,Bus
8,36,Male,23000,Yes,Motorcycle,450,3.2,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
8,24,Male,12000,No,,350,2,Walking,Bus,Bus,Bus,Bus
8,20,Male,0,No,,400,1.8,Walking,Bus,Bus,Laguna,CNG
8,28,Male,22000,No,,600,2.5,Rickshaw,Bus,Bus,Bus,Bus
8,32,Male,20000,No,,700,4.5,Bus,Bus,Laguna,Laguna,Bus
8,45,Male,35000,Yes,Motorcycle,400,6,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
8,37,Male,28000,No,,300,3.6,Rickshaw,Bus,Bus,Rickshaw,CNG
8,28,Male,15000,No,,250,1.8,Laguna,Laguna,Laguna,Bus,CNG
8,27,Male,16000,No,,350,2.8,Walking,Bus,Bus,Laguna,CNG
8,24,Male,15000,No,,450,2.5,Walking,Bus,Bus,Bus,Bus
8,26,Male,10000,No,,600,1.5,Walking,Laguna,Laguna,Bus,Bus
8,30,Male,18000,No,,1000,3.5,Bus,Bus,Bus,Laguna,Bus
8,35,Male,24000,Yes,Motorcycle,200,4.5,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
8,24,Female,12000,No,,350,2.5,Walking,Bus,Bus,Rickshaw,CNG
2,22,Male,10000,No,,250,3.7,Walking,Bus,,Bus,
2,36,Male,25000,No,Motorcycle,450,2.5,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
2,29,Male,18000,No,,500,1.8,Laguna,Laguna,Laguna,Laguna,
2,27,Male,15000,No,,350,2.6,Laguna,Bus,Bus,Bus,
2,24,Male,12000,No,,600,2,Bus,Bus,Bus,Bus,
2,20,Male,0,No,,800,3.6,Walking,Bus,Laguna,Laguna,
2,19,Male,0,No,,400,4,Walking,Bus,Bus,Bus,
2,42,Male,32000,No,,200,2.8,Rickshaw,Bus,Bus,Bus,
2,38,Male,28000,No,Motorcycle,100,3.6,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
2,36,Male,20000,No,,500,3.5,Bus,Bus,Bus,Bus,
2,27,Male,18000,No,Motorcycle,350,4.2,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
2,25,Male,15000,No,,900,5,Bus,Laguna,Bus,Laguna,
2,22,Female,8000,No,,450,2.5,Bus,Bus,Bus,Bus,
2,20,Male,0,No,,400,3,Walking,Bus,Bus,Bus,
2,45,Male,30000,No,,350,4,Rickshaw,Bus,Bus,Bus,
2,50,Male,45000,Yes,CNG,250,4.5,CNG,CNG,CNG,CNG,CNG
2,56,Male,35000,Yes,CNG,1000,4,CNG,CNG,CNG,CNG,CNG
2,36,Male,24000,Yes,Motorcycle,300,5.6,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
2,34,Male,19500,No,,250,2.8,Bus,Laguna,Bus,Laguna,
2,30,Female,12000,No,,200,1.8,Laguna,Bus,Bus,Bus,
2,33,Male,18000,Yes,Motorcycle,600,2.2,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
2,26,Female,13000,No,,250,3.6,Rickshaw,Bus,Bus,Bus,
2,28,Male,24000,Yes,Motorcycle,500,3.6,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
2,44,Male,35000,Yes,Motorcycle,350,4.5,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle
2,38,Male,24000,No,,200,3.2,Bus,Bus,Bus,Bus,
2,52,Male,50000,Yes,CNG,150,4,CNG,CNG,CNG,CNG,CNG
2,45,Male,32000,No,,450,5,Rickshaw,Bus,Bus,Bus,
2,36,Male,16000,No,,350,3.2,Laguna,Mahindra,Laguna,Mahindra,
2,22,Female,15000,No,,300,2,Rickshaw,Bus,Bus,Bus,
2,24,Female,12000,No,,250,1.8,Bus,Rickshaw,Rickshaw,Rickshaw,
4,33,Male,28000,Yes,Motorcycle,250,18,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
4,39,Male,22000,No,,50,3.8,Bus,Bus,Bus,Walking,Walking
4,17,Male,5000,No,,50,13,Bus,Bus,Walking,Walking,Bus
4,27,Male,20000,No,,100,5.4,Bus,Bus,Bus,Walking,Walking
4,31,Male,25000,No,,300,2.3,Bus,Bus,Bus,Rickshaw,CNG
4,19,Male,18000,No,,50,1.2,Bus,Mahindra,Mahindra,Walking,Walking
4,20,Female,0,No,,50,9.4,Bus,Bus,,Rickshaw,CNG
4,48,Male,35000,No,,100,0.75,CNG,Walking,Walking,Rickshaw,Rickshaw
4,16,Male,0,No,,150,10,Bus,Bus,Bus,Walking,Walking
4,18,Male,8000,No,,100,1,Walking,Walking,Walking,Walking,Bus
4,42,Male,30000,No,,100,13,Bus,Bus,Bus,Walking,Bus
4,24,Male,15000,No,,50,18,Bus,Bus,Bus,Walking,Rickshaw
4,27,Male,18000,Yes,Motorcycle,200,2,Motorcycle,Motorcycle,Motorcycle,Motorcycle,CNG
4,39,Male,30000,No,,100,9.2,Bus,Bus,Bus,Rickshaw,Rickshaw
4,25,Male,16000,No,,150,3.3,Bus,Bus,Bus,Walking,Walking
4,23,Female,7000,No,,150,7.1,Laguna,Bus,Bus,Rickshaw,Bus
4,39,Male,40000,Yes,Motorcycle,100,13,Rickshaw,Bus,Bus,Rickshaw,CNG
4,21,Male,12000,No,,50,5.5,Mahindra,Mahindra,Rickshaw,Walking,CNG
4,31,Male,25000,No,,100,8,Bus,Bus,Bus,Walking,Bus
4,61,Male,30000,No,,50,1,Rickshaw,Rickshaw,Rickshaw,Rickshaw,Rickshaw
4,17,Male,6000,No,,100,0.5,Bus,Walking,Walking,Walking,Bus
4,33,Female,22000,No,,50,6.8,Bus,Bus,Bus,Rickshaw,Rickshaw
4,21,Male,9000,No,,100,8.2,Bus,Bus,Bus,Walking,Bus
4,36,Male,25000,Yes,Motorcycle,100,6.3,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
4,29,Male,18000,No,,200,1.2,Bus,Walking,Walking,Walking,Bus
4,16,Female,0,No,,50,1.3,Rickshaw,Rickshaw,,Walking,Rickshaw
4,43,Male,35000,No,,250,7.2,Bus,Bus,Bus,Walking,Bus
4,26,Male,15000,No,,100,1.6,Laguna,Laguna,Laguna,Walking,Walking
4,34,Male,30000,No,,150,2.3,Bus,Bus,Bus,Rickshaw,Bus
4,16,Male,8000,Yes,Motorcycle,100,1.7,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
6,28,Male,22000,Yes,Motorcycle,50,7.2,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
